,역명,노선명,sub노선명,순번,lat,lng,이용자변화율
331,공덕,6호선,6호선,626,37.544018,126.951592,-0.2265167008020148
332,월곡(동덕여대),6호선,6호선,641,37.601948,127.041518,-0.29697113573482437
333,응암,6호선,6호선A,610,37.598605,126.915577,-0.209934536784814
334,응암,6호선,6호선A,616,37.598605,126.915577,-0.209934536784814
335,독바위,6호선,6호선A,613,37.618456,126.933031,-0.2081562975258081
336,구산,6호선,6호선A,615,37.611377,126.91727,-0.2503390119510761
337,불광,6호선,6호선A,612,37.610469,126.929887,-0.2917717683454014
338,연신내,6호선,6호선A,614,37.619001,126.921008,-0.2550966843417978
339,역촌,6호선,6호선A,611,37.606021,126.922744,-0.24246977600332464
340,반포,7호선,7호선,733,37.508178,127.011727,-0.27306327105410544
341,보라매,7호선,7호선,742,37.499872,126.920428,-0.18316917055559434
342,부천종합운동장,7호선,7호선,752,37.50538,126.797337,-0.262488683676241
343,사가정,7호선,7호선,722,37.580894,127.088478,-0.17065334676356714
344,남성,7호선,7호선,737,37.484596,126.971251,-0.23534652303771642
345,내방,7호선,7호선,735,37.487618,126.993513,-0.19368810943711712
346,신중동,7호선,7호선,754,37.503048,126.77596,-0.22570947779613848
347,신풍,7호선,7호선,743,37.50008,126.90993,-0.20926180423666407
348,논현,7호선,7호선,732,37.511093,127.021415,-0.16798348975644595
349,어린이대공원(세종대),7호선,7호선,726,37.548014,127.074658,-0.37797270004961303
350,상동,7호선,7호선,756,37.505781,126.753083,-0.2950715451118654
351,석남,7호선,7호선,761,37.506193,126.676203,
352,먹골,7호선,7호선,718,37.610637,127.077725,-0.22079300058793327
353,상봉(시외버스터미널),7호선,7호선,720,37.596362,127.085032,-0.19862392006691143
354,노원,7호선,7호선,713,37.655128,127.061368,-0.26453811515825487
355,이수,7호선,7호선,736,37.486263,126.981989,-0.2497351942063578
356,숭실대입구(살피재),7호선,7호선,738,37.496029,126.953822,-0.37515109301610416
357,철산,7호선,7호선,747,37.47605,126.867911,-0.2654457931891808
358,까치울,7호선,7호선,751,37.506207,126.810939,-0.19032372192885616
359,하계,7호선,7호선,715,37.636352,127.06799,-0.28135061862903243
360,굴포천,7호선,7호선,758,37.506997,126.73128,-0.23358086989228177
361,군자(능동),7호선,7호선,725,37.557121,127.079542,-0.19798557327834831
362,고속터미널,7호선,7호선,734,37.50481,127.004943,-0.40005113614083465
363,장승배기,7호선,7호선,740,37.504898,126.93915,-0.2745775494737973
364,광명사거리,7호선,7호선,748,37.479252,126.854876,-0.2829771626231439
365,강남구청,7호선,7호선,730,37.517186,127.04128,-0.16275754284531496
366,가산디지털단지,7호선,7호선,746,37.481072,126.882343,-0.1358371150297102
367,천왕,7호선,7호선,749,37.486637,126.838713,-0.08498868298934448
368,중곡,7호선,7호선,724,37.565923,127.08432,-0.22148806662838771
369,학동,7호선,7호선,731,37.514229,127.031656,-0.13745061296577343
370,대림(구로구청),7호선,7호선,744,37.49297,126.895801,-0.3144231039965123
371,춘의,7호선,7호선,753,37.503663,126.787036,-0.1659436879369589
372,건대입구,7호선,7호선,727,37.540693,127.07023,-0.3565093668547894
373,면목,7호선,7호선,721,37.588579,127.087503,-0.21976881358123113
